Clave,Nombre,Tipo,RUC,Nombre Corto,Clave,Correo electronico,Correo electronico 2
00023,"SONOMA, S.A.",Cliente,10452221546169,SKECHER,00023,daniel@dabsan.com,
00024,BOLI & COMPANY LTD,Cliente,399317-1-424107,WORLD TIME,00024,Rafael.Bonilla@uniwatch.com,olaides@uniwatch.com
00242,"INVERSIONES ELON, S. A.",Cliente,155672337-2-2018,FLOWERS ART,000242,jramirezreina1978@yahoo.es,ginnarobles@hotmail.com
00025,"ADOC DE PANAMA, S.A.",Cliente,2236582-1-778933,HUSH PUPP/ STEVE M,00025,carmen.iglesias@empresasadoc.com,marlon.arias@empresasadoc.com
00026,FIFTH AVENUE COMMERCIAL S A,Cliente,2218517-1-77608,AEROPOSTALE,00026,Diana.Torrero@sisa.com,tramos@fastcoint.com
00027,RAPIDFLOW ENTERPRISES S.A.,Cliente,2151972-1-76543,EXPRESS,00027,Diana.Torrero@sisa.com,tramos@fastcoint.com
00028,"JEZ, S.A.",Cliente,2546966-1-825787,JEZ,00028,pmelendez@intretailgroup.com,
00029,BURGER ALTAPLAZA  S A,Cliente,2658095-1-841747,ROCKBURGER,00029,clopeztom@gmail.com,real@decastro-robles.com
00030,"DIFERMODA COMMERCIALES, S.A.",Cliente,2138231-1-763279,DESIGUAL,00030,rmartinez@plazareg.com,
00031,"INVERSIONES AMIGO, S.A.",Cliente,42660-17-288805,TOMMY HILFIGER,00031,FRP@thassap.com,aperez@aswgr.com
00032,"ADF PANAMç, S.A.",Cliente,2524158-1-822252,CALVIN KLEIN,00032,FRP@thassap.com,znunez@aswgr.com
00033,"OPERADORA PANAMAX, S.A.",Cliente,1675920-1-680848,DOMINOS«PIZZA,00033,oscar@dominospanama.com,alejandra@dominospanama.com
00034,"LA RIVIERA PANAMç, S.A.",Cliente,556399-1-444264,LA RIVIERA,00034,ltouzard@grupowisa.com,roselyn.figueroa@grupowisa.com
00035,"MNT PA, CORP.",Cliente,2676578-1-844525,MINUETTO,00035,emilkilzi@zellt.com,giocondag@zellt.com
00036,"NAPA PANAMA, CORP.",Cliente,2607093-1-834768,CELIO,00036,emilkilzi@zellt.com,
00037,"MODAS Y DEPORTES EL DORADO, S.A.",Cliente,1841-85-35470,SUPER DEPORTES,00037,contabilidad2@modasydeportes.com,sarah@modasydeportes.com
00038,RETAIL UNITED S A,Cliente,2254102-1-782138,FLORMAR/GRANSTORE,00038,conta1@demodazl.com,
00039,"ISTHMUS FOOD SERVICES, S.A.",Cliente,2270779-1-785158,FUDDRUCKERS,00039,fuddsdministracion@gmail.com,orlandofalsm@gmail.com
00040,"LOPUS FINANCIAL, INC..",Cliente,529409-1-439947,TIMBERLAND / BELLINI,00040,,
00042,"PUNTAMENTA PANAMç, S.A.",Cliente,155587690-2-2014,AGUAMENTA,00042,khernandez@aguamentabikinis.com,surrutia@serviequiposcorp.com
00044,"EQUITEM, S.A.",Cliente,12010-68-119752,,00044,,
00045,"PAYLESS SHOESOURCE PANAMA, S.A.",Cliente,283658-1-407733,PAYLESS,00045,Arelis.Gil@payless.com,migdalia.arias@payless.com
00046,"CREPES, S.A.",Cliente,47814-83-308700,CREPES & WAFFLES,00046,proveedore.fe.panama@crepesywaffles.com,
00047,PIZZA & ESPUMA S A,Cliente,1622566-1-670525,PIZZA BRAVA,00047,jaime@bravapizzayespuma.com,bravacontabilidad@gmail.com
00048,MADE IN JAPAN CENTENARIO S A,Cliente,155588604-2-2014,NACIîN SUSHI,00048,franquicia@nacionsushi.com,altaplaza@nacionsushi.com
00049,DISRUPTION DE PANAMA  S A,Cliente,906690-1-516109,DISRUPTION DE PANAMA,00049,angela.alvarado@tbwapanama.com,
00050,LA MONEDITA S A,Cliente,1511215-1-649686,JUICE MARKET,00050,oishitolani@hotmail.com,info@juice-market.com
00051,"MOHINANI GROUP, S.A.",Cliente,1114423-1-562931,JOYERIA MG,00051,rajesh@mohinanigroup.com,gerencia@mohinanigroup.com
00052,GNC (LIVE WELL)  CORP,Cliente,2186574-1-771158,GNC,00052,kalvarado@gnc.com.pa,carosemena@gnc.com.pa
00053,CRYSTAL HOUSE CORPORATION,Cliente,1130991-1-567041,SWAROVSKI,00053,mircala@snobshop.net,tamara@swpanama.com
00054,PREMIUM CAFE DE LATINOAMERICA S A,Cliente,2410160-1-806190,THE COFFEE BEAN TEA,00054,a.figueroa@coffeebean.com.pa,h.guevara@coffeebean.com.pa
00055,"CAPACOL, S.A.",Cliente,62662-43-352811,TOTTO Tò/TOTTO,00055,abotero@hotmail.com,administracion@tottopanama.com
00056,INVERSIONES LOS TRES ANGELES S A,Cliente,155589705-2-2015,CAKE POPS,00056,monicarangel1320@hotmail.com,invlostresangelespanama@hotmail.com
00057,MULTIOPTICAS PANAMA S A,Cliente,2122593-1-760614,MULTIOPTICAS,00057,juanalbertog@multiopticaspanama.com,
00058,RED VELVET INVESTMENT INC,Cliente,155597544-2-2015,RED VELVET,00058,isidrog2008@gmail.com,josealbertogomes1969@hotmail.com
00059,"INVERSIONES LA CORONA, S.A.",Cliente,1681639-1-682343,EPK,00059,admin@epkpanama.com,cz@epkpanama.com
00060,"GRANELO PIELES, S.A.",Cliente,1114072-1-562834,RENATO CUEROS,00060,info@renato.com.pa,
00061,"SKYTEX, S.A.",Cliente,2234889-1-778669,MOA/OKAIDI/HUNKEMOLL,00061,akram@skytexworld.com,logistics@skytexworld.com
00062,INVERSIONES LASSNER AMADOR S A,Cliente,886674-1-512095,LE„OS Y CARBîN,00062,lenosycarbonpan@hotmail.com,tesoreria.lenosycarbon@gmail.com
00063,INVERSIONES GOLDEN BRANDS S A,Cliente,1672601-1-680004,WING ZONE,00063,contabilidad@wingzone.com.pa,cuco51@hotmail.com
00064,KOTOWA COFFEEHOUSE S A,Cliente,811194-1-498031,KOTOWA COFFEE HOUSE,00064,gereadmko@cwpanama.net,criskoyner@cwpanama.net
00065,S M R M  INC,Cliente,1747141-1-695563,PREMIER,00065,,
00066,GRUPO BARI S A,Cliente,155604137-2-2015,PHILPARK,00066,kelenmedina@gmail.com,kmedina@philpark.com.pa
00067,EDIFICAR PANAMA S A,Cliente,1352384-1-617663,,00067,,
00068,SALVADOR INTERNATIONAL CORP,Cliente,1987411-1-738084,PELUQUERIA SALVADOR/,00068,info@salvador.com.ve,
00069,GRUPO INVERSIONISTA DONATO S A,Cliente,2604857-1-834438,SANDWICH CUBANO,00069,contabilidad.qbano@gmail.com,diegocubano80@hotmail.com
00070,REIBY S A,Cliente,155585577-2-2014,STUFF,00070,mohamed@electrohogarzl.com,
00071,INVERSIONES PANAMERICANAS DE CAFE DE PANAMA S A,Cliente,1692370-1-684786,STARBUCKS,00071,keyur.bhakta@cctlgrp.com,mariel.belton@cctlgrp.com
00072,LOVING MY MOBILE S A,Cliente,155603566-2-2015,CELLAIRIS,00072,rgrajales@businesspty.biz,
00073,AUDIO FOTO INTERNACIONAL S A,Cliente,17297-39-162907,AUDIOFOTO,00073,ada.amelia@audiofoto.com,contabilidad@audiofoto.com
00074,D F  PANAMA  S A,Cliente,2573154-1-829796, MANGO,00074,elvira.puga@grupowisa.com.pa,bortega@grupowisa.com.pa
00075,CONCEPT SPORT  S A,Cliente,778-454-138120,ADIDAS,00075,Karla.Chanis@adidas-group.com,svc_fss_ap_7260_pa@adidas-group.com
00076,ESTOCOLMO INTERNATIOAL HOLDING CORP,Cliente,2369270-1-800455,UNIFARMA,00076,odelaespada@unifarma.com.pa,
00077,"INVERSIONES SAN REMO GROUP, S. A",Cliente,155635682-2-2016,LEGO,00077,jennifer.altamar@elitebrands.us,claudia.marin@elitebrands.us
00078,ARCOS DORADOS PANAMA  S A,Cliente,32476-40-247875,MC DONALD«S,00078,raul.ruiz@pa.mcd.com,Jesus.Arias@pa.mcd.com
00079,SPECIALTY RETAIL STORES DE PANAMA S A,Cliente,1826619-1-709868,STEVE MADDEN,00079,jaimepalomo@mac.com,marcela.martinez@srs-ca.com
00080,SIGNATURE PAN S A,Cliente,2662719-1-842393,CHARLES_KEITH,00080,mack.ibrahim@phoenixwt.com.pa,
00081,EL HOMBRE DE LA MANCHA S A,Cliente,61624-1-372612,EL HOMBRE DE LA MANC,00081,orit.trabajo@gmail.com,contabilidad@hombredelamancha.com
00082,MDG CORP,Cliente,155584835-2-2014,PUKET,00082,ifakih@merengadazl.com,husse23@gmail.com
00083,ALTAPLAZA INVESTMENT INC,Cliente,57306-101-338487,BERSHK/OYS/PU&B/STRA,00083,celibeth.deleon@plazareg.com,desireth.gonzalez@plazareg.com
00084,YOGEN ALTAPLAZA S A,Cliente,155604905-2-2015,DURAN COFFEE STORE,00084,cesvar@hotmail.com,
00085,PANAME„A DE HELADOS S A,Cliente,456498-1-432343,GELARTI,00085,rafael.londono@gelarti.com,yadira.soto@gelarti.com
00086,PANAFRUTA S A,Cliente,836430-1-502723,SMOOTHIES,00086,rafael.londono@gelarti.com,
00087,PIRUETAS S A,Cliente,361958-1-419101,PIRUETAS,00087,esquenazi.jose@gmail.com,
00088,GRUPO COMPLETO S A,Cliente,155600336-2-2015,BAMBOO,00088,tzaji@grupocompleto.com,info.bamboo@grupocompleto.com
00089,FOUR D GELATERIAS INVESTMENT INC,Cliente,155604371-2-2015,GELATO 4D,00089,isidrog2008@gmail.com,josealbertogomes1969@hotmail.com
00090,F G ALTA PLAZA S A,Cliente,155610362-2-2015,BOCADILLOS,00090,churromania.pty@gmail.com,
00091,MF ALTA PLAZA S A,Cliente,155607510-2-2015,LA BAGUETTE,00091,labaguettedorado1@gmail.com,labaguettedoradoadm@gmail.com
00092,"LINGERIE BOUTIQUE, S.A.",Cliente,814-121-133201,LEONISA,00092,LSanchezG@lboutique-pa.com,MIcaza@lboutique-pa.com
00093,GRUPO WUAP S A,Cliente,155610197-2-2015,WASSUP,00093,celis.gustvo@gmail.com,
00094,MOA PANAMA S A,Cliente,155594503-2-2015,MOA,00094,akram@skytexworld.com,snasr@skytexworld.com
00095,OKAIDI PANAMA S A,Cliente,155609003-2-2015,OKAIDê,00095,akram@skytexworld.com,snasr@skytexworld.com
00096,HMK PANAMA S A,Cliente,155594497-2-2015,HUMKEMOLLER,00096,akram@skytexworld.com,snasr@skytexworld.com
00097,"LIFE HOME OFFICE, INC",Cliente,729804-1-475013,LIFE PLUS,00097,lurys@lifeplus.com.pa,vielka@lifeplus.com.pa
00098,FASHION FOOTWEAR PANAMA INC,Cliente,2095085-1-755833,ALDO,00098,juan.sanchez@phoenixwt.com.pa,Jackeline@phoenixwt.com.pa
00099,MR. MACCARONI S.A.,Cliente,"155613369-2-2015	",MR. MACCARONI,00099,greciamanzano@gmail.com,
00100,"KALAMATAS, S.A.",Cliente,"155613446-2-2015	",PREMIUM CARS,00100,karlagunera@gmail.com,
00101,"INVERSIONES JZ, S.A.",Cliente,705759-1-469900,Silver Collection 92,00101,jenny@silvercollection.net,
00102,"TIENDAS DE MARCAS, S.A.",Cliente,"267069-1-405452	",MOOSE/U.S POLO ASS,00102,mijael@uspolo.com.pa,contabilidad3@esmo.com.pa
00103,"KIO GROUP INC , S.A.",Cliente,"1835025-1-710987	",Mr. Pretzel,00103,reinacoro@gmail.com,
00104,"CM ALTAPLAZA, S.A.",Cliente,155607490-2-2015,CHURROLƒ,00104,fc.altaplaza@gmail.com,yusmaridecastro@hotmail.com
00105,"MADISON VENTURES  MV, S.A.",Cliente,"155597326-2-2015	",ALEX AND ANI,00105,madisonv@sterlinggrupo.com,
00106,"ROUND 1, S.A.",Cliente,2115541-1-759299,EVERLAST,00106,agarzon@deportivaint.com,contabilidad@deportivaint.com
00107,"EYS COLLECTION, S A",Cliente,2387494-1-803060,EYS COLLECTION,00107,alinaramirez@yahoo.com,aantadillas@hotmail.com
00109,GLAMIXCO S.A.,Cliente,"155609876-2-2015	",MODEL OWN,00109,fuad@zgrupo.com,
00111,ESTABON INVESTMENT INC,Cliente,2287267-1-787948,Play N Trade,00111,GERENCIA@PNTPANAMA.COM,
00112,"GRUPO CORPORATIVO CARIBE, S.A.",Cliente,155610326-2-2015,SALVADOR / UOMO,00112,uomoaltaplaza@gmail.com,institutoaltaplaza@gmail.com
00113,"CHOCO INTERNATIONAL, S.A.",Cliente,155607286-2-2015,Choco Kebab,00113,abhm50@gmail.com,
00114,"CANELA CORPORATION, S.A.",Cliente, 601815-1-451839,CINNABON,00114,admoncanela@gmail.com,daniel@athenspizzapanama.com
00115,GRUPO ZAGAL STORE CORP,Cliente,155601123-2-2015,ZAGAL,00115,michael_zagal@hotmail.com,
00116,"NUTRI FRANQUICIAS, S.A.",Cliente,1346550-1-616220,TCBY FROZEN YOGURT,00116,CDTCBY@YAHOO.COM,
00117,"ROYAL BRANDS, S.A.",Cliente,1856702-1-714711,MOTHERCARE,00117,jpantoja@spartanla.com,bacevedo@spartanla.com
00118,"TOVA, S.A.",Cliente,65219-68-360495,STEVENS,00118,yamileth.paredes@grupotova.com,jacinta.jaen@grupotova.com
00119,"GELATIAMO PANAMA, S.A.",Cliente,1-55589219-2-2014,GELATIAMO,00119,kunalrmayani@gmail.com,sharunmayani@gmail.com
00120,INVERSIONES CAPITALES F & E S A,Cliente,155604802-2-2015,Athanasiou,00120,jaiaty@hotmail.com,
00121,FITLAB S A,Cliente,690433-1-466278,FITLAB Y  CLAIRE'S,00121,contabilidad@fitlab.us,dfernandez@consultingkm.com
00122,"CABLE ONDA, S.A.",Cliente,30394-2-238626,Cable Onda,00122,luz.sanchez@tigo.com.pa,cilia.iberico@tigo.com.pa
00123,"PREMIER DEAD SEA PANAMA, S.A.",Cliente,1163525-1-574358,VINE VERA,00123,joevinevera@gmail.com,adelmisdelgado@vineverapty.com
00124,"RUSTICA MARKET, S.A.",Cliente,"155619460-2-2015	 DV 71",Rustica Market,00124,danidani68@gmail.com,
00125,URBAN DEVELOPERS CORP.,Cliente,1255085-1-594193  DV35,GRUPO VIVIR,00125,mhamoui@gvivir.com,cvidal@gvivir.com
00126,MANTENIMIENTO DE INFRAESTRUCTURA S A (MANTINSA),Cliente,155615466-2-2015,MANTINSA,00126,cizaguirre@mantinsa.com,vcastillo@mantinsa.com
00128,TERABYTE PANAMA CORP,Cliente,1422003-1-632092,I LOVE MY PHONE,00128,frankmoret@hotmail.com,miguelespildora2@gmail.com
00129,NETZAJ CORP.,Cliente,2335623-1-795402,CANDY POP,00129,bogayasociadosca@gmail.com,
00130,T V OFFER INC,Cliente,62661-106-352806,INGENIOUS,00130,contadorpanama@grupotvoffer.com,rigobertoguerrero@gmail.com
00131,"EVA & LUNA ACCESORIES,  S.A.",Cliente,155623843-2-2016,EVALUNA,00131,evalunaltaplaza@gmail.com,marilynf.19@hotmail.com
00132,"ORGANZA INVESTMENT, S.A.",Cliente,2365601-1-799907,CAMICISSIMA,00132,ilucero@argeliazl.com,d.espinoza@argeliazl.com
00133,"IMPORTADORA MADURO, S.A.",Cliente,558-472-101708,FELIX,00133,contabilidad@maduro.com.pa,
00134,"FRANQUICIAS PANAME„AS, S.A",Cliente,902-308-105023,DAIRY / PIZZA H/ KFC,00134,eric.magallon@franpan.com,marisel.sanchez@franpan.com
00135,"TWO HANDS PRODUCTIONS, S.A.",Cliente,155621012-2-2016,SAND BOX,00135,fabiola@twohandsp.com,
00136,"GASCO ZONA LIBRE, S.A.",Cliente,2200254-1-773126,GASCO,00136,admin@gasco.la,gerencia1@gasco.la
00137,"GRAND CAFE, S.A.",Cliente,2230622-1-777946,GRAN CAFE,00137,,abudi.darwiche@hotmail.com
00138,DALIAN GLOBAL PROPERTIES CORP.,Cliente,2671452-1-843751,ST Jacks,00138,czavala@stjacks.com,nrodriguez@stjacks.com
00139,AGUACLARA PTY  S.A.,Cliente,155619607-2-2015,Agua Clara,00139,sousa150@yahoo.com,ssousa@dreamkyds.com
00141,CONCEPT STORE GROUP  COPRP,Cliente,155626930-2-2016,BRAND SHOP,00141,itza.velarde@apolo.com,
00142,"ALPHA ENTRETENIMIENTOS, S.A.",Cliente,"578064-1-447678	",ESTI GAMES,00142,rmolinadl@grupomintl.com,amedina@estigames.com
00143,MAC STORE CORP,Cliente,537091-1-441028,MAC STORE/SUNGLASS H,00143,ncastillo@macstore.com.pa,melissa@macstore.com.pa
00144,"GRUPO PLAZA CROCS, S.A.",Cliente,155623449-2-2016,CROCS,00144,vecky_0380@hotmail.com,monicabardayan@gmail.com
00145,"ODLR PANAMA, S.A.",Cliente,155591603-2-2015,Oscar de la Renta,00145,lazar@odlr-latinamerica.com,stella@odlr-latinamerica.com
00146,"ASIAN ALTAPLAZA, S.A.",Cliente,155610689-2-2015,BAMBOO WOK,00146,lopez@decastro-robles.com,real@decastro-robles.com
00147,"ARENAS SURF, S.A",Cliente,"155619168-2-2015	",Flow,00147,,contabilidad@stargroupzl.com
00148,OSLER INVESTMENT,Cliente,155624519-2-2016,STICK HOUSE,00148,YISSA@ARGELIAZL.COM,
00149,"SAMAA, S.A.",Cliente,2555979-1-826983,KCHE INTERNACIONAL,00149,MOHANAD_IMTAIR@HOTMAIL.COM,kche-internacional@hotmail.com
00150,"RETAIL FOOD, S.A.",Cliente,155590693-2-2015,NY FRIES,00150,auraemonteverde02@gmail.com,fuad@retailfoodsa.com
00151,"LIZARRAN PANAMA, S.A.",Cliente,155606020-2-2015,Lizarran,00151,fjlopez8@gmail.com,belkislizarran@gmail.com
00152,MCCANN ERICKSON WORLD GROUP PANAMA S A,Cliente,28936-2-233429,,00152,Othmell.Rodriguez@mccann.com.pa,facturacion.sm@mccann.com.pa
00153,"PEKECARS, S.A.",Cliente,155613377-2-2015,PEQUECOCHES,00153,pequecoches@gmail.com,
00154,"LA COCINA CREATIVA, S.A.",Cliente,155622523-2-2016,The Hoppy Hug/ Taber,00154,info@cocinacreativa21.com,
00155,INVERSIONES VANCOUVER S A,Cliente,1075684-1-553258,Victoria's Secret,00155,johanaruiz@grupodavid.com,yaritzatorres@grupodavid.com
00156,"NUNI FASHION, S.A.",Cliente,2195327-1-772450,Children's P/ Americ,00156,johanaruiz@grupodavid.com,jinisgomez@grupodavid.com
00157,"ASADOS GABYDANA, S.A.",Cliente,1008620-1-537652,Asados Gaby Dana,00157,admin@asadosgabydana.com,
00158,"PANAMA TICKETS, S.A.",Cliente,1584531-1-663146,TICKETS PLUS,00158,amacaluso@ticketplus.com.pa,
00159,OFITERAPIA,Cliente,3-73-2383,OFITERAPIA,00159,ofiterapia@gmail.com,
00160,"HIGH TRAFFIC MEDIA, S.A.",Cliente,636563-1-457271,"HIGT TRAFFIC MEDIA,",00160,argelis@hightraffic.tv,
00161,INVERSIONES MOASIRO S A,Cliente,155630973-2-2016,FOREVER PHONE,00161,4everphone@gmail.com,grupotecnologia.m@gmail.com
00162,ALAMEDA PANAMA S A,Cliente,2234879-1-778664,FOREVER 21,00162,paula.cabrera@ar-holdings.com,facturas.administrativo.pa@ar-holdings.com
00163,"PREMIUM COMPANY, S.A.",Cliente,155602621-2-2015,PREMIUM CARS,00163,karlagunera@gmail.com,
00164,JOHN GRANDIN,Cliente,059579300,NUTELLA,00164,grandinjohn@gmail.com,
00165,REAL SERVICIOS PTY,Cliente,1824274-1-709503,REAL SERVICIOS PTY,00165,,
00166,"Compa–ia Paname–a de Aviaci—n, S.A. (Copa Airlines)",Cliente,515-111-12086,Copa Airlines,00166,GLEBLANC@copaair.com,dvelasqueze@copaair.com
00167,"TIME OUT PANAMA, S.A.",Cliente,2074288-1-752057,PUMA,00167,daris@puma.com.pa,
00168,"BUCO Y MAS, S.A.",Cliente,155629293-2-2016,Muy Mucho,00168,claudiadiaz@muymuchopanama.com,
00169,"MARKETING ROOTS, INC.",Cliente,395303-1-423552,,00169,,
00170,"Versa Group, S.A.",Cliente,155608084-2-2015,DIP N DIP,00170,contabilidad@multifoodholdings.com,Gnovoa@grupodavissa.com
00171,"RG NETWORKS, CORP.",Cliente,1588378-1-663936,"RG NETWORKS, CORP.",00171,,
00172,"GRUPO TECH PTY, S.A.",Cliente,155626948-2-2016,SAMSUNG,00172,rupcich.marcel@gmail.com,mogangelica@gmail.com
00173,"CLARO PANAMA, S.A.",Cliente,994855-1-534959,CLARO,00173,mmarlenis.penalba@claro.com.pa,Cesar.Aguirre@claro.com.pa
00174,MARKETING CLOVER,Cliente,1346310-1-996,MARKETING CLOVER,00174,,
00175,"PETROAUTOS, S.A.",Cliente,29440-104-236201,HYUNDAI,00175,jsolis@petroautos.com,
00176,DELICATESES ORIENTALES S A,Cliente,2507100-1-819793,AL RIFAI,00176,alielneser@outlook.com,omarelneser@gmail.com
00177,"Q,  S.A.",Cliente,1273476-1-598609,"Q,  S.A.",00177,,
00178,"SUPERZA, S.A.",Cliente,155615100-2-2015,SUPERGA,00178,juan_f6@hotmail.com,
00179,"REGALADISSIMO, S.A.",Cliente,155636646-2-2016,SPECIAL GIFTS,00179,crisstina2001@hotmail.com,cllopezcrespo@happysweetday.com
00180,E MOTION INC,Cliente,60917-26-347991,,00180,,
00181,"PMG PANAMA, S. A.",Cliente,6606-136-75525,JAGUAR DE PANAMA,00181,,
00182,"MOLITH, S. A.",Cliente,2659274-1-841971,La Pouppe,00182,molithsa@gmail.com,
00183,"GREEN THINGS, S.A.",Cliente,1733803-1-693000,GREEN THINGS,00183,info@greenthingspty.com,
00184,"CAPITAL DORADO 711, SA.",Cliente,155641599-2-2016,BRANGUS PARRILLA,00184,presidencia@brangusparrilla.com,
00185,"BETMER, S.A.",Cliente,155635888-2-2016,MNG,00185,pavel.burgos@betmer.com,betzabel.ortega@betmer.com
00186,"DISTRIBUIDORA DAVID FORD COMPANY, S. A.",Cliente,503455-1-436018,FORD,00186,JGONZALEZ@DIDASA.COM.PA,
00187,"DIEGO FORERO R, S.A.",Cliente,1910714-1-724434,Bodega Diego Forero,00187,diegoforero830@gmail.com,
00188,"MERCADEO Y PUBLICIDAD EL DORADO, S.A.",Cliente,155614722-2-2015,D- MARK,00188,desingn_express@outlook.com,
00189,"IBIZA PANAMA, S.A.",Cliente,36363-2-263154,LURYX,00189,contabilidad.pa@luryx.com,dario@luryx.com
00190,SCOTIABANK (PANAMA) S.A.,Cliente,404934-1-425041,SCOTIABANK ATM,00190,mariae.rodriguez@scotiabank.com,
00191,"BANCO LAFISE PANAMA, S.A.",Cliente,985189-1-533017,BANCO LAFISE,00191,icedeno@lafise.com,dramirez@lafise.com
00192,"URBAN DEVELOPMENT GROUP, S.A.",Cliente,920858-1-519322,Promotora UDG,00192,jdemenchaca@udggroup.com,hgonzalez@udggroup.com
00193,SJM REST & BROS,Cliente,155605313-2-2015,EL GUEY,00193,dinosgerencia@gmail.com,jsagas.dinos@gmail.com
00195,"COLLINS RESTAURANT GROUP, INC.",Cliente,804410-1-496026,IHOP,00195,jcollins@cocri.com.pa,
00196,PEPE JEANS PANAMA S A,Cliente,2592891-1-832587,PEPE JEANS,00196,,masanchez@pepejeans.com
00197,"Inversiones De Luca Joyas 2, S. A.",Cliente,155647019-2-2017,D&C Joyeros,00197,joseph.crocco@yahoo.com,
00199,LUSH PANAMA INC,Cliente,1792338-1-703874,LUSH,00199,contabilidad@lushpanama.com,sonam@lushpanama.com
00200,"CENTRAL LATINOAMERICANA DE VALORES, S.A.",Cliente,1801267-1-705329,LATINCLEAR,00200,,
00202,"PERLAS ADMINISTRADORES, S.A.",Otras,2274055-1-785686,PERLAS ADMON.,00202,,
00204,"ATLANTIDA D C, S.A.",Cliente,155593705-2-2015, B-1-01 ATLANTIDA,00204,,
00205,"APPLE PLAZA, S. A.",Cliente,155640184-2-2016,APPLEBEE'S,00205,contabilidad@applebees.com.pa,cbecerra@applebees.com.pa
00206,SHAMBALLA SERVICIOS AGROTURISTICOS S A,Cliente,2222629-1-776722,SAN BLAS HILLS,00206,angeebarriosp@gmail.com,
00207,BANCO GENERAL,Cliente,280-134-61098,ATM BANCO GENERAL,00207,acasatti@bgeneral.com,
00208,"LA NUEVA CANELA, S.A.",Cliente,2544356-1-825416,CINNABON,00208,admoncanela@gmail.com,dgumbs@cinnabon.com.pa
00209,"BANISTMO,  S.A.",Cliente,633197-1-456744,BANISTMO,00209,facturacion_proveedores@banistmo.com,
00210,"CRAVINGS GROUP, S.A.",Cliente,155650494-2-2017,CRAVINGS,00210,CRAVINGS@CEO@GMAIL.COM,
00211,NAT CORP,Cliente,1779958-1-701735,INTIMA SECRET,00211,gustavo.canizalez@intimasecretpty.com,asistente.contabilidad@intimasecretpty.com
00212,RESTAURANTE ALTAPLAZA S.A.,Cliente,155647987-2-2017,EL GUEY,00212,elgueypanama@gmail.com,jissel.delgado26@gmail.com
00213,BOARDING GATE CORP,Cliente,511806-1-437408,SWISSBRAND,00213,rosalba.espinosa@sportline.com.pa,
00214,3 RIVAS,Cliente,155658470-1-2017,3 R. LIQUOR BOUTIQUE,00214,,
00215,POWER CLUB S.A.,Cliente,370948-1-420312,POWER CLUB,00215,NGADELOFF@POWERCLUBGYM.COM,
00216,"TRANSFER EXPRESS DE PANAMA, S.A.",Cliente,1315587-1-609387,WESTERN UNION,00216,jose.corro@westernunion.com,lisseth.GuilartedeAraujo@westernunion.com
00217,507 VENDING MACHINES CORP,Cliente,2611083-1-835379,,00217,douglasguimaraes888@gmail.com,
